Generación,Mejor Individuo,Fitness
249,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 491.0588888264818, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",137627.7321986424
250,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 491.0588888264818, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",137627.7321986424
251,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 491.0588888264818, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",137627.7321986424
252,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 491.0588888264818, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",137627.7321986424
253,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 491.0588888264818, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",137627.7321986424
254,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 491.0588888264818, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",137627.7321986424
255,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
256,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
257,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
258,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
259,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
260,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
261,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
262,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
263,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
264,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
265,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
266,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
267,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
268,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
269,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
270,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
271,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
272,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
273,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
274,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
275,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
276,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
277,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
278,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
279,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
280,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
281,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
282,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
283,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
284,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
285,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
286,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
287,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
288,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
289,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
290,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
291,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
292,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
293,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
294,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
295,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
296,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
297,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
298,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
299,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
300,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
301,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
302,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
303,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
304,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
305,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
306,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
307,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
308,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
309,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
310,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
311,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
312,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
313,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
314,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
315,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
316,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
317,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
318,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
319,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
320,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
321,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
322,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
323,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
324,"{'x1': 38.41603817629746, 'x2': 0.4005541906053067, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138838.37039182422
325,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138900.05337190075
326,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138900.05337190075
327,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138900.05337190075
328,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138900.05337190075
329,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138900.05337190075
330,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 361.4141901664889, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",138900.05337190075
331,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
332,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
333,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
334,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
335,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
336,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
337,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
338,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
339,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
340,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
341,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
342,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
343,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
344,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
345,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
346,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
347,"{'x1': 38.41603817629746, 'x2': 0.13236732070731616, 'x3': 356.09987433301706, 'y1': 127.98414117512347, 'y2': 4.425648888819634, 'w1': 21.206587022824618, 'w2': 499.12981011436045, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",140281.77548860345
