Generación,Mejor Individuo,Fitness
24,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 129.46630244400546, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",108687.36358794387
25,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 129.46630244400546, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",108687.36358794387
26,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 129.46630244400546, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",108687.36358794387
27,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 129.46630244400546, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",108687.36358794387
28,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
29,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
30,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
31,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
32,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
33,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
34,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
35,"{'x1': 40.512177349553866, 'x2': 2.3972964825377807, 'x3': 365.629786910041, 'y1': 127.98414117512347, 'y2': 78.0889752327084, 'w1': 21.206587022824618, 'w2': 485.64485810879495, 'w3': 4637.827258960432, 'w4': 2461.3832258116845}",119476.60230231626
