Generación,Mejor Posición Global,Fitness
31,"{'x1': 93.17110470333503, 'x2': 0, 'x3': 241.20853489977975, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
32,"{'x1': 93.20606137238441, 'x2': 0, 'x3': 240.2506065509674, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
33,"{'x1': 93.22353970690911, 'x2': 0, 'x3': 239.77164237656123, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
34,"{'x1': 93.23227887417146, 'x2': 0, 'x3': 239.53216028935816, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
35,"{'x1': 93.23664845780263, 'x2': 0, 'x3': 239.4124192457566, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
36,"{'x1': 93.23883324961821, 'x2': 0, 'x3': 239.35254872395583, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
37,"{'x1': 93.239925645526, 'x2': 0, 'x3': 239.32261346305546, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
38,"{'x1': 93.2404718434799, 'x2': 0, 'x3': 239.30764583260526, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
39,"{'x1': 93.24074494245684, 'x2': 0, 'x3': 239.30016201738016, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
40,"{'x1': 93.24088149194532, 'x2': 0, 'x3': 239.2964201097676, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
41,"{'x1': 93.24094976668955, 'x2': 0, 'x3': 239.29454915596133, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
42,"{'x1': 93.24098390406168, 'x2': 0, 'x3': 239.2936136790582, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
43,"{'x1': 93.24100097274774, 'x2': 0, 'x3': 239.29314594060665, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
44,"{'x1': 93.24100950709077, 'x2': 0, 'x3': 239.29291207138087, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
45,"{'x1': 93.24101377426229, 'x2': 0, 'x3': 239.29279513676798, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
46,"{'x1': 93.24101590784804, 'x2': 0, 'x3': 239.29273666946153, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
47,"{'x1': 93.24101697464091, 'x2': 0, 'x3': 239.2927074358083, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
48,"{'x1': 93.24101750803736, 'x2': 0, 'x3': 239.2926928189817, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
49,"{'x1': 93.24101777473558, 'x2': 0, 'x3': 239.2926855105684, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000, 'w4': 0}",973793.4072598614
50,"{'x1': 93.24101790808469, 'x2': 0, 'x3': 239.29268185636172, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
51,"{'x1': 93.24101797475925, 'x2': 0, 'x3': 239.2926800292584, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
52,"{'x1': 93.24101800809652, 'x2': 0, 'x3': 239.29267911570673, 'y1': 0, 'y2': 240, 'w1': 0, 'w2': 6000, 'w3': 6000.0, 'w4': 0}",973793.4072598614
